Query.Sequence,Reference.Sequence,ANI.match,Aligned.orthologous.sequences,Total.sequence.fragments
21_bin.10,29_bin.35,82.332,306,1173
21_bin.10,29_bin.53,99.6203,979,1173
21_bin.10,31_bin.18,99.6966,986,1173
21_bin.10,31_bin.4,81.8997,308,1173
21_bin.10,32_bin.53,81.1729,300,1173
21_bin.10,34_bin.28,76.3054,89,1173
21_bin.10,34_bin.29,81.8421,297,1173
21_bin.10,34_bin.2,99.5885,1019,1173
21_bin.10,34_bin.7,75.9032,70,1173
21_bin.10,36_bin.22,99.1892,756,1173
21_bin.10,36_bin.32,78.2874,76,1173
21_bin.10,36_bin.39,81.4005,299,1173
21_bin.10,37_bin.57,81.2519,288,1173
21_bin.10,38_bin.9,82.5378,307,1173
21_bin.10,39_bin.35,81.3334,301,1173
21_bin.10,39_bin.46,99.5858,957,1173
21_bin.10,40_bin.5,75.3619,51,1173
21_bin.10,41_bin.32,82.2651,307,1173
21_bin.10,41_bin.35,99.6725,1009,1173
21_bin.10,41_bin.37,75.7406,77,1173
21_bin.10,41_bin.38,75.7677,87,1173
21_bin.10,41_bin.76,77.9887,306,1173
21_bin.10,42_bin.21,82.099,295,1173
21_bin.10,42_bin.6,99.624,1030,1173
21_bin.10,43_bin.28,75.5095,70,1173
21_bin.10,43_bin.34,99.6566,1036,1173
21_bin.10,43_bin.39,78.2058,346,1173
21_bin.10,43_bin.59,82.0845,299,1173
21_bin.10,44_bin.27,75.826,76,1173
21_bin.10,44_bin.41,99.2287,812,1173
21_bin.10,44_bin.50,82.1307,308,1173
21_bin.10,45_bin.16,75.4163,67,1173
21_bin.10,46_bin.21,81.32,289,1173
21_bin.10,46_bin.56,79.5269,317,1173
21_bin.10,46_bin.59,75.9729,65,1173
21_bin.10,46_bin.73,76.7444,192,1173
21_bin.10,47_bin.13,76.8185,185,1173
21_bin.10,47_bin.30,82.3548,271,1173
21_bin.10,47_bin.61,99.6747,1025,1173
21_bin.10,47_bin.64,75.6199,60,1173
21_bin.10,48_bin.50,82.0528,307,1173
21_bin.10,48_bin.65,99.7046,1019,1173
21_bin.10,49_bin.10,81.4993,289,1173
21_bin.10,49_bin.68,75.9638,73,1173
21_bin.10,49_bin.94,78.2913,340,1173
21_bin.10,50_bin.1,75.3953,60,1173
21_bin.47,11_bin.53,76.5727,217,1264
21_bin.47,21_bin.10,76.2704,271,1264
21_bin.47,21_bin.47,100,1252,1264
21_bin.47,22_bin.14,99.7297,1147,1264
21_bin.47,22_bin.5,77.2119,179,1264
21_bin.47,23_bin.50,99.7167,1132,1264
21_bin.47,24_bin.42,78.8101,446,1264
21_bin.47,24_bin.63,99.7407,1153,1264
21_bin.47,24_bin.64,76.6196,271,1264
21_bin.47,25_bin.7,75.8153,94,1264
21_bin.47,26_bin.35,75.5727,65,1264
21_bin.47,26_bin.9,99.7602,1154,1264
21_bin.47,27_bin.15,99.8172,1212,1264
21_bin.47,28_bin.46,76.5825,281,1264
21_bin.47,28_bin.47,99.7441,1152,1264
21_bin.47,29_bin.10,75.6122,61,1264
21_bin.47,29_bin.22,80.0632,627,1264
21_bin.47,29_bin.35,99.6386,1142,1264
21_bin.47,29_bin.53,76.578,262,1264
21_bin.47,31_bin.18,76.5747,273,1264
21_bin.47,31_bin.4,99.7375,1170,1264
21_bin.47,32_bin.53,99.6906,1136,1264
21_bin.47,34_bin.29,99.6782,1128,1264
21_bin.47,34_bin.2,77.3635,294,1264
21_bin.47,34_bin.7,75.5286,66,1264
21_bin.47,36_bin.22,76.5073,215,1264
21_bin.47,36_bin.32,75.359,57,1264
21_bin.47,36_bin.39,99.7288,1137,1264
21_bin.47,37_bin.57,99.6838,1130,1264
21_bin.47,38_bin.9,99.6697,1133,1264
21_bin.47,39_bin.35,99.588,1117,1264
21_bin.47,39_bin.46,76.6139,271,1264
21_bin.47,40_bin.5,75.5696,90,1264
21_bin.47,41_bin.32,99.6628,1128,1264
21_bin.47,41_bin.35,76.7653,271,1264
21_bin.47,41_bin.37,75.5916,64,1264
21_bin.47,41_bin.38,75.763,76,1264
21_bin.47,41_bin.76,76.0694,177,1264
21_bin.47,42_bin.21,99.664,1120,1264
21_bin.47,42_bin.6,76.6429,271,1264
21_bin.47,43_bin.28,75.3858,52,1264
21_bin.47,43_bin.34,76.5938,265,1264
21_bin.47,43_bin.39,76.209,198,1264
21_bin.47,43_bin.59,99.6392,1122,1264
21_bin.47,44_bin.27,75.5931,61,1264
21_bin.47,44_bin.41,76.5828,234,1264
21_bin.47,44_bin.50,99.6451,1099,1264
21_bin.47,45_bin.16,75.828,103,1264
21_bin.47,46_bin.21,99.6893,1135,1264
21_bin.47,46_bin.56,76.0506,186,1264
21_bin.47,46_bin.59,75.5493,57,1264
21_bin.47,46_bin.73,78.6319,457,1264
21_bin.47,47_bin.13,78.8572,481,1264
21_bin.47,47_bin.30,98.8828,890,1264
21_bin.47,47_bin.61,76.737,269,1264
21_bin.47,47_bin.64,75.2928,52,1264
21_bin.47,48_bin.50,99.5015,1086,1264
21_bin.47,48_bin.65,76.6513,265,1264
21_bin.47,49_bin.10,99.5924,1102,1264
21_bin.47,49_bin.68,75.5092,57,1264
21_bin.47,49_bin.94,76.2808,196,1264
21_bin.47,50_bin.1,75.7688,98,1264
22_bin.14,11_bin.53,76.2694,204,1309
22_bin.14,21_bin.10,81.391,299,1309
22_bin.14,21_bin.47,99.7471,1157,1309
22_bin.14,22_bin.14,100,1297,1309
22_bin.14,22_bin.5,76.2772,171,1309
22_bin.14,23_bin.50,99.6825,1185,1309
22_bin.14,24_bin.42,78.8055,464,1309
22_bin.14,24_bin.63,99.7154,1219,1309
22_bin.14,24_bin.64,76.4721,248,1309
22_bin.14,25_bin.7,75.5222,100,1309
22_bin.14,26_bin.35,75.6418,69,1309
22_bin.14,26_bin.9,99.7308,1191,1309
22_bin.14,27_bin.15,99.7529,1249,1309
22_bin.14,28_bin.46,76.5968,254,1309
22_bin.14,28_bin.47,99.6714,1201,1309
22_bin.14,29_bin.10,75.699,66,1309
22_bin.14,29_bin.22,80.4904,633,1309
22_bin.14,29_bin.35,99.6516,1179,1309
22_bin.14,29_bin.53,76.6554,248,1309
22_bin.14,31_bin.18,76.5045,254,1309
22_bin.14,31_bin.4,99.6985,1198,1309
22_bin.14,32_bin.53,99.619,1169,1309
22_bin.14,34_bin.29,99.6203,1169,1309
22_bin.14,34_bin.2,77.7501,282,1309
22_bin.14,34_bin.7,75.7009,68,1309
22_bin.14,36_bin.22,76.2116,206,1309
22_bin.14,36_bin.32,75.3703,69,1309
22_bin.14,36_bin.39,99.6697,1177,1309
22_bin.14,37_bin.57,99.5996,1163,1309
22_bin.14,38_bin.9,99.5946,1166,1309
22_bin.14,39_bin.35,99.547,1147,1309
22_bin.14,39_bin.46,76.4618,256,1309
22_bin.14,40_bin.5,75.2964,94,1309
22_bin.14,41_bin.32,99.609,1168,1309
22_bin.14,41_bin.35,76.5701,251,1309
22_bin.14,41_bin.37,75.7008,67,1309
22_bin.14,41_bin.38,75.9902,68,1309
22_bin.14,41_bin.76,76.1793,169,1309
22_bin.14,42_bin.21,99.5961,1142,1309
22_bin.14,42_bin.6,76.552,249,1309
22_bin.14,43_bin.28,75.5302,57,1309
22_bin.14,43_bin.34,76.418,248,1309
22_bin.14,43_bin.39,76.063,196,1309
22_bin.14,43_bin.59,99.5698,1160,1309
22_bin.14,44_bin.27,75.7126,66,1309
22_bin.14,44_bin.41,76.4205,223,1309
22_bin.14,44_bin.50,99.6203,1122,1309
22_bin.14,45_bin.16,75.5724,113,1309
22_bin.14,46_bin.21,99.6587,1161,1309
22_bin.14,46_bin.56,76.031,188,1309
22_bin.14,46_bin.59,75.6055,61,1309
22_bin.14,46_bin.73,78.6828,471,1309
22_bin.14,47_bin.13,78.7793,490,1309
22_bin.14,47_bin.30,98.8585,924,1309
22_bin.14,47_bin.61,76.589,250,1309
22_bin.14,47_bin.64,75.4931,59,1309
22_bin.14,48_bin.50,99.4832,1113,1309
22_bin.14,48_bin.65,76.4588,248,1309
22_bin.14,49_bin.10,99.5561,1141,1309
22_bin.14,49_bin.68,75.626,59,1309
22_bin.14,49_bin.94,76.2759,193,1309
22_bin.14,50_bin.1,75.4854,106,1309
22_bin.5,11_bin.53,98.3929,557,684
22_bin.5,21_bin.10,99.3012,640,684
22_bin.5,21_bin.47,77.0163,169,684
22_bin.5,22_bin.14,76.237,168,684
22_bin.5,22_bin.5,100,670,684
22_bin.5,23_bin.50,76.9459,169,684
22_bin.5,24_bin.42,77.1585,119,684
22_bin.5,24_bin.63,76.626,175,684
22_bin.5,24_bin.64,99.3375,644,684
22_bin.5,26_bin.9,76.8089,177,684
22_bin.5,27_bin.15,76.618,177,684
22_bin.5,28_bin.46,99.4021,652,684
22_bin.5,28_bin.47,76.7787,168,684
22_bin.5,29_bin.22,76.2658,145,684
22_bin.5,29_bin.35,76.828,173,684
22_bin.5,29_bin.53,99.2215,646,684
22_bin.5,31_bin.18,99.2798,645,684
22_bin.5,31_bin.4,76.7723,170,684
22_bin.5,32_bin.53,76.7931,174,684
22_bin.5,34_bin.28,76.4681,62,684
22_bin.5,34_bin.29,76.3308,169,684
22_bin.5,34_bin.2,99.3883,643,684
22_bin.5,36_bin.22,98.6521,540,684
22_bin.5,36_bin.39,76.9241,170,684
22_bin.5,37_bin.57,76.8009,166,684
22_bin.5,38_bin.9,77.1292,171,684
22_bin.5,39_bin.35,76.6977,161,684
22_bin.5,39_bin.46,99.285,622,684
22_bin.5,41_bin.32,76.5303,165,684
22_bin.5,41_bin.35,99.3275,649,684
22_bin.5,41_bin.38,75.8096,60,684
22_bin.5,41_bin.76,78.3337,193,684
22_bin.5,42_bin.21,76.3703,156,684
22_bin.5,42_bin.6,99.4135,660,684
22_bin.5,43_bin.34,99.4028,654,684
22_bin.5,43_bin.39,78.2872,212,684
22_bin.5,43_bin.59,76.486,167,684
22_bin.5,44_bin.41,98.9123,565,684
22_bin.5,44_bin.50,76.5838,164,684
22_bin.5,46_bin.21,76.932,167,684
22_bin.5,46_bin.56,79.4543,211,684
22_bin.5,46_bin.73,76.1931,122,684
22_bin.5,47_bin.13,76.6494,107,684
22_bin.5,47_bin.30,76.3277,142,684
22_bin.5,47_bin.61,99.4312,654,684
22_bin.5,48_bin.50,76.2587,173,684
22_bin.5,48_bin.65,99.4141,654,684
22_bin.5,49_bin.10,76.1998,158,684
22_bin.5,49_bin.94,78.3271,220,684
23_bin.50,11_bin.53,76.2445,209,1299
23_bin.50,21_bin.10,81.4449,328,1299
23_bin.50,21_bin.47,99.7516,1159,1299
23_bin.50,22_bin.14,99.6696,1194,1299
23_bin.50,22_bin.5,76.9511,180,1299
23_bin.50,23_bin.50,100,1277,1299
23_bin.50,24_bin.42,78.8968,469,1299
23_bin.50,24_bin.63,99.7306,1193,1299
23_bin.50,24_bin.64,76.4374,269,1299
23_bin.50,25_bin.7,75.6331,96,1299
23_bin.50,26_bin.35,75.4053,65,1299
23_bin.50,26_bin.9,99.6708,1187,1299
23_bin.50,27_bin.15,99.7497,1234,1299
23_bin.50,28_bin.46,76.613,264,1299
23_bin.50,28_bin.47,99.7137,1185,1299
23_bin.50,29_bin.10,75.4165,64,1299
23_bin.50,29_bin.22,80.3975,631,1299
23_bin.50,29_bin.35,99.6496,1169,1299
23_bin.50,29_bin.53,76.7259,264,1299
23_bin.50,31_bin.18,76.4987,262,1299
23_bin.50,31_bin.4,99.7146,1188,1299
23_bin.50,32_bin.53,99.6328,1162,1299
23_bin.50,34_bin.29,99.626,1162,1299
23_bin.50,34_bin.2,77.738,285,1299
23_bin.50,34_bin.7,75.4152,65,1299
23_bin.50,36_bin.22,76.3289,210,1299
23_bin.50,36_bin.32,75.2917,62,1299
23_bin.50,36_bin.39,99.6562,1169,1299
23_bin.50,37_bin.57,99.6178,1144,1299
23_bin.50,38_bin.9,99.5985,1149,1299
23_bin.50,39_bin.35,99.4891,1141,1299
23_bin.50,39_bin.46,76.4413,271,1299
23_bin.50,40_bin.5,75.5128,84,1299
23_bin.50,41_bin.32,99.5972,1153,1299
23_bin.50,41_bin.35,76.5955,264,1299
23_bin.50,41_bin.37,75.3805,67,1299
23_bin.50,41_bin.38,75.6444,82,1299
23_bin.50,41_bin.76,76.1769,165,1299
23_bin.50,42_bin.21,99.5896,1132,1299
23_bin.50,42_bin.6,76.4962,266,1299
23_bin.50,43_bin.28,75.3418,59,1299
23_bin.50,43_bin.34,76.4709,265,1299
23_bin.50,43_bin.39,76.1411,196,1299
23_bin.50,43_bin.59,99.6024,1146,1299
23_bin.50,44_bin.27,75.4395,65,1299
23_bin.50,44_bin.41,76.45,235,1299
23_bin.50,44_bin.50,99.5723,1117,1299
23_bin.50,45_bin.16,75.6335,100,1299
23_bin.50,46_bin.21,99.602,1142,1299
23_bin.50,46_bin.56,76.2085,175,1299
23_bin.50,46_bin.59,75.4339,59,1299
23_bin.50,46_bin.73,78.6619,470,1299
23_bin.50,47_bin.13,78.8915,478,1299
23_bin.50,47_bin.30,98.8571,916,1299
23_bin.50,47_bin.61,76.4759,269,1299
23_bin.50,47_bin.64,75.2941,55,1299
23_bin.50,48_bin.50,99.435,1103,1299
23_bin.50,48_bin.65,76.4353,256,1299
23_bin.50,49_bin.10,99.5261,1111,1299
23_bin.50,49_bin.68,75.5005,60,1299
23_bin.50,49_bin.94,76.2933,191,1299
23_bin.50,50_bin.1,75.7501,95,1299
24_bin.42,11_bin.53,77.1113,127,972
24_bin.42,21_bin.10,77.1289,178,972
24_bin.42,21_bin.47,78.9369,424,972
24_bin.42,22_bin.14,78.9882,424,972
24_bin.42,22_bin.5,77.0173,113,972
24_bin.42,23_bin.50,79.1747,428,972
24_bin.42,24_bin.42,100,953,972
24_bin.42,24_bin.63,78.9903,438,972
24_bin.42,24_bin.64,76.3556,165,972
24_bin.42,25_bin.7,75.5541,54,972
24_bin.42,26_bin.9,79.0559,421,972
24_bin.42,27_bin.15,79.0799,438,972
24_bin.42,28_bin.46,76.3152,173,972
24_bin.42,28_bin.47,79.1257,431,972
24_bin.42,29_bin.22,99.3002,891,972
24_bin.42,29_bin.35,79.1579,431,972
24_bin.42,29_bin.53,76.4987,163,972
24_bin.42,31_bin.18,76.6961,164,972
24_bin.42,31_bin.4,79.1624,424,972
24_bin.42,32_bin.53,79.0131,435,972
24_bin.42,34_bin.29,78.9394,418,972
24_bin.42,34_bin.2,76.7557,172,972
24_bin.42,36_bin.22,76.4524,126,972
24_bin.42,36_bin.39,79.1104,432,972
24_bin.42,37_bin.57,79.1043,420,972
24_bin.42,38_bin.9,79.1502,418,972
24_bin.42,39_bin.35,79.0572,419,972
24_bin.42,39_bin.46,76.5018,158,972
24_bin.42,40_bin.5,75.2089,50,972
24_bin.42,41_bin.32,78.8848,426,972
24_bin.42,41_bin.35,76.5978,160,972
24_bin.42,41_bin.76,76.1822,122,972
24_bin.42,42_bin.21,78.9212,424,972
24_bin.42,42_bin.6,76.7027,169,972
24_bin.42,43_bin.34,76.3658,164,972
24_bin.42,43_bin.39,76.593,146,972
24_bin.42,43_bin.59,79.0563,423,972
24_bin.42,44_bin.41,76.6183,142,972
24_bin.42,44_bin.50,78.9985,412,972
24_bin.42,45_bin.16,75.3237,67,972
24_bin.42,46_bin.21,79.0801,429,972
24_bin.42,46_bin.56,76.2427,143,972
24_bin.42,46_bin.73,98.7744,746,972
24_bin.42,47_bin.13,98.6231,737,972
24_bin.42,47_bin.30,78.8103,360,972
24_bin.42,47_bin.61,76.3713,166,972
24_bin.42,48_bin.50,78.9808,416,972
24_bin.42,48_bin.65,76.2462,161,972
24_bin.42,49_bin.10,78.9709,414,972
24_bin.42,49_bin.94,76.1148,132,972
24_bin.42,50_bin.1,75.3335,60,972
24_bin.63,11_bin.53,76.293,202,1318
24_bin.63,21_bin.10,81.7549,306,1318
24_bin.63,21_bin.47,99.75,1189,1318
24_bin.63,22_bin.14,99.7206,1221,1318
24_bin.63,22_bin.5,76.5238,173,1318
24_bin.63,23_bin.50,99.7213,1207,1318
24_bin.63,24_bin.42,78.7855,478,1318
24_bin.63,24_bin.63,99.9999,1308,1318
24_bin.63,24_bin.64,76.4315,249,1318
24_bin.63,25_bin.7,75.6662,99,1318
24_bin.63,26_bin.35,75.426,61,1318
24_bin.63,26_bin.9,99.7065,1206,1318
24_bin.63,27_bin.15,99.7754,1260,1318
24_bin.63,28_bin.46,76.5307,255,1318
24_bin.63,28_bin.47,99.7285,1206,1318
24_bin.63,29_bin.10,75.5222,58,1318
24_bin.63,29_bin.22,80.3843,637,1318
24_bin.63,29_bin.35,99.6327,1185,1318
24_bin.63,29_bin.53,76.7862,243,1318
24_bin.63,31_bin.18,76.4108,252,1318
24_bin.63,31_bin.4,99.7046,1219,1318
24_bin.63,32_bin.53,99.6405,1193,1318
24_bin.63,34_bin.29,99.6528,1177,1318
24_bin.63,34_bin.2,77.5859,284,1318
24_bin.63,34_bin.7,75.4045,60,1318
24_bin.63,36_bin.22,76.249,199,1318
24_bin.63,36_bin.32,75.5343,58,1318
24_bin.63,36_bin.39,99.6654,1194,1318
24_bin.63,37_bin.57,99.6396,1159,1318
24_bin.63,38_bin.9,99.6142,1176,1318
24_bin.63,39_bin.35,99.5196,1158,1318
24_bin.63,39_bin.46,76.542,247,1318
24_bin.63,40_bin.5,75.4523,86,1318
24_bin.63,41_bin.32,99.5999,1182,1318
24_bin.63,41_bin.35,76.5566,250,1318
24_bin.63,41_bin.37,75.4047,63,1318
24_bin.63,41_bin.38,75.7652,76,1318
24_bin.63,41_bin.76,76.3167,171,1318
24_bin.63,42_bin.21,99.6256,1148,1318
24_bin.63,42_bin.6,76.5027,254,1318
24_bin.63,43_bin.28,75.4749,52,1318
24_bin.63,43_bin.34,76.3924,253,1318
24_bin.63,43_bin.39,76.3637,187,1318
24_bin.63,43_bin.59,99.5869,1161,1318
24_bin.63,44_bin.27,75.5104,59,1318
24_bin.63,44_bin.41,76.4163,221,1318
24_bin.63,44_bin.50,99.5909,1136,1318
24_bin.63,45_bin.16,75.6317,111,1318
24_bin.63,46_bin.21,99.6035,1171,1318
24_bin.63,46_bin.56,76.2234,174,1318
24_bin.63,46_bin.59,75.4989,53,1318
24_bin.63,46_bin.73,78.5925,482,1318
24_bin.63,47_bin.13,78.8855,484,1318
24_bin.63,47_bin.30,98.9462,924,1318
24_bin.63,47_bin.61,76.5058,258,1318
24_bin.63,47_bin.64,75.4595,50,1318
24_bin.63,48_bin.50,99.4679,1119,1318
24_bin.63,48_bin.65,76.4248,252,1318
24_bin.63,49_bin.10,99.539,1145,1318
24_bin.63,49_bin.68,75.2751,59,1318
24_bin.63,49_bin.94,76.27,192,1318
24_bin.63,50_bin.1,75.6753,100,1318
24_bin.64,11_bin.53,99.0927,764,1109
24_bin.64,21_bin.10,99.6374,1015,1109
24_bin.64,21_bin.47,76.8551,235,1109
24_bin.64,22_bin.14,76.6081,230,1109
24_bin.64,22_bin.5,98.6303,633,1109
24_bin.64,23_bin.50,76.6568,241,1109
24_bin.64,24_bin.42,76.3696,173,1109
24_bin.64,24_bin.63,76.5962,236,1109
24_bin.64,24_bin.64,100,1102,1109
24_bin.64,25_bin.7,75.5489,64,1109
24_bin.64,26_bin.35,76.0087,81,1109
24_bin.64,26_bin.9,76.5905,238,1109
24_bin.64,27_bin.15,76.5553,245,1109
24_bin.64,28_bin.46,99.6892,1032,1109
24_bin.64,28_bin.47,76.6091,230,1109
24_bin.64,29_bin.10,75.9611,85,1109
24_bin.64,29_bin.22,76.4408,228,1109
24_bin.64,29_bin.35,78.1012,248,1109
24_bin.64,29_bin.53,99.6888,1005,1109
24_bin.64,31_bin.18,99.6619,1012,1109
24_bin.64,31_bin.4,76.5585,232,1109
24_bin.64,32_bin.53,76.5694,233,1109
24_bin.64,34_bin.28,76.5511,90,1109
24_bin.64,34_bin.29,76.5314,230,1109
24_bin.64,34_bin.2,99.7392,1012,1109
24_bin.64,34_bin.7,76.191,77,1109
24_bin.64,36_bin.22,99.1122,764,1109
24_bin.64,36_bin.32,78.1334,74,1109
24_bin.64,36_bin.39,76.6298,236,1109
24_bin.64,37_bin.57,76.6619,223,1109
24_bin.64,38_bin.9,78.091,240,1109
24_bin.64,39_bin.35,76.5616,233,1109
24_bin.64,39_bin.46,99.6034,971,1109
24_bin.64,40_bin.5,75.3021,58,1109
24_bin.64,41_bin.32,78.0937,245,1109
24_bin.64,41_bin.35,99.7242,1021,1109
24_bin.64,41_bin.37,76.1649,83,1109
24_bin.64,41_bin.38,76.0027,86,1109
24_bin.64,41_bin.76,78.0169,309,1109
24_bin.64,42_bin.21,78.1523,240,1109
24_bin.64,42_bin.6,99.7917,1048,1109
24_bin.64,43_bin.28,75.8112,76,1109
24_bin.64,43_bin.34,99.7516,1050,1109
24_bin.64,43_bin.39,78.2168,351,1109
24_bin.64,43_bin.59,78.0187,248,1109
24_bin.64,44_bin.27,76.1786,82,1109
24_bin.64,44_bin.41,99.2576,824,1109
24_bin.64,44_bin.50,77.8884,249,1109
24_bin.64,45_bin.16,75.3251,64,1109
24_bin.64,46_bin.21,76.6147,233,1109
24_bin.64,46_bin.56,79.5293,319,1109
24_bin.64,46_bin.59,76.25,78,1109
24_bin.64,46_bin.73,76.4862,181,1109
24_bin.64,47_bin.13,76.5936,173,1109
24_bin.64,47_bin.30,78.3879,210,1109
24_bin.64,47_bin.61,99.7182,1057,1109
24_bin.64,47_bin.64,75.9501,71,1109
24_bin.64,48_bin.50,78.1736,241,1109
24_bin.64,48_bin.65,99.6978,1025,1109
24_bin.64,49_bin.10,76.6191,217,1109
24_bin.64,49_bin.68,76.0363,74,1109
24_bin.64,49_bin.94,78.4242,343,1109
24_bin.64,50_bin.1,75.3575,70,1109
25_bin.7,21_bin.10,75.8834,56,786
25_bin.7,21_bin.47,75.657,96,786
25_bin.7,22_bin.14,75.764,92,786
25_bin.7,23_bin.50,75.6639,93,786
25_bin.7,24_bin.42,75.5954,62,786
25_bin.7,24_bin.63,75.6648,97,786
25_bin.7,24_bin.64,75.9721,58,786
25_bin.7,25_bin.7,100,775,786
25_bin.7,26_bin.9,75.635,95,786
25_bin.7,27_bin.15,75.6767,99,786
25_bin.7,28_bin.46,75.9295,61,786
25_bin.7,28_bin.47,75.7648,93,786
25_bin.7,29_bin.22,75.5365,87,786
25_bin.7,29_bin.35,75.7052,95,786
25_bin.7,29_bin.53,75.746,55,786
25_bin.7,31_bin.18,75.9414,58,786
25_bin.7,31_bin.4,75.6334,98,786
25_bin.7,32_bin.53,75.6923,95,786
25_bin.7,34_bin.29,75.6428,89,786
25_bin.7,34_bin.2,75.852,62,786
25_bin.7,36_bin.39,75.7051,98,786
25_bin.7,37_bin.57,75.7284,95,786
25_bin.7,38_bin.9,75.612,95,786
25_bin.7,39_bin.35,75.7186,94,786
25_bin.7,39_bin.46,75.7428,52,786
25_bin.7,40_bin.5,98.2505,550,786
25_bin.7,41_bin.32,75.7326,95,786
25_bin.7,41_bin.35,75.7136,59,786
25_bin.7,42_bin.21,75.7069,89,786
25_bin.7,42_bin.6,75.8999,60,786
25_bin.7,43_bin.34,75.7618,59,786
25_bin.7,43_bin.39,75.3919,54,786
25_bin.7,43_bin.59,75.766,92,786
25_bin.7,44_bin.41,75.7752,53,786
25_bin.7,44_bin.50,75.6283,90,786
25_bin.7,45_bin.16,98.7108,659,786
25_bin.7,46_bin.21,75.7315,94,786
25_bin.7,46_bin.73,75.3574,69,786
25_bin.7,47_bin.13,75.5631,62,786
25_bin.7,47_bin.30,75.7548,83,786
25_bin.7,47_bin.61,75.9322,58,786
25_bin.7,48_bin.50,75.782,91,786
25_bin.7,48_bin.65,75.809,56,786
25_bin.7,49_bin.10,75.7156,90,786
25_bin.7,49_bin.94,75.5109,56,786
25_bin.7,50_bin.1,98.775,644,786
26_bin.35,11_bin.53,76.1841,59,1288
26_bin.35,21_bin.10,75.8339,79,1288
26_bin.35,21_bin.47,75.3486,55,1288
26_bin.35,22_bin.14,75.3779,60,1288
26_bin.35,23_bin.50,75.3285,61,1288
26_bin.35,24_bin.63,75.4207,58,1288
26_bin.35,24_bin.64,76.0244,80,1288
26_bin.35,26_bin.35,100,1273,1288
26_bin.35,26_bin.9,75.1955,59,1288
