Kegg_Module,Fullname,path,Level1,Level2,module_type
M00004,M00004 Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030map01200map01100map01120],map00030map01200map01100map01120,Central carbohydrate metabolism,Lipid metabolism,pathway
M00004,M00004 Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030map01200map01100map01120],map00030map01200map01100map01120,Central carbohydrate metabolism,Nucleotide metabolism,pathway
M00004,M00004 Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030map01200map01100map01120],map00030map01200map01100map01120,Central carbohydrate metabolism,Amino acid metabolism,pathway
M00004,M00004 Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030map01200map01100map01120],map00030map01200map01100map01120,Central carbohydrate metabolism,Glycan metabolism,pathway
M00004,M00004 Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030map01200map01100map01120],map00030map01200map01100map01120,Central carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00004,M00004 Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030map01200map01100map01120],map00030map01200map01100map01120,Central carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00004,M00004 Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030map01200map01100map01120],map00030map01200map01100map01120,Central carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00004,M00004 Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030map01200map01100map01120],map00030map01200map01100map01120,Central carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00005,"M00005 PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030map00230map01200map01230map01100]",map00030map00230map01200map01230map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00005,"M00005 PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030map00230map01200map01230map01100]",map00030map00230map01200map01230map01100,Central carbohydrate metabolism,Energy metabolism,pathway
M00005,"M00005 PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030map00230map01200map01230map01100]",map00030map00230map01200map01230map01100,Central carbohydrate metabolism,Lipid metabolism,pathway
M00005,"M00005 PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030map00230map01200map01230map01100]",map00030map00230map01200map01230map01100,Central carbohydrate metabolism,Nucleotide metabolism,pathway
M00005,"M00005 PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030map00230map01200map01230map01100]",map00030map00230map01200map01230map01100,Central carbohydrate metabolism,Amino acid metabolism,pathway
M00005,"M00005 PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030map00230map01200map01230map01100]",map00030map00230map01200map01230map01100,Central carbohydrate metabolism,Glycan metabolism,pathway
M00005,"M00005 PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030map00230map01200map01230map01100]",map00030map00230map01200map01230map01100,Central carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00005,"M00005 PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030map00230map01200map01230map01100]",map00030map00230map01200map01230map01100,Central carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00005,"M00005 PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030map00230map01200map01230map01100]",map00030map00230map01200map01230map01100,Central carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00005,"M00005 PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030map00230map01200map01230map01100]",map00030map00230map01200map01230map01100,Central carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00006,"M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00006,"M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Energy metabolism,pathway
M00006,"M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Lipid metabolism,pathway
M00006,"M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Nucleotide metabolism,pathway
M00006,"M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Amino acid metabolism,pathway
M00006,"M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Glycan metabolism,pathway
M00006,"M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00006,"M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00006,"M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00006,"M00006 Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00007,"M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030map01200map01230map01100map01120]",map00030map01200map01230map01100map01120,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00007,"M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030map01200map01230map01100map01120]",map00030map01200map01230map01100map01120,Central carbohydrate metabolism,Energy metabolism,pathway
M00007,"M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030map01200map01230map01100map01120]",map00030map01200map01230map01100map01120,Central carbohydrate metabolism,Lipid metabolism,pathway
M00007,"M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030map01200map01230map01100map01120]",map00030map01200map01230map01100map01120,Central carbohydrate metabolism,Nucleotide metabolism,pathway
M00007,"M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030map01200map01230map01100map01120]",map00030map01200map01230map01100map01120,Central carbohydrate metabolism,Amino acid metabolism,pathway
M00007,"M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030map01200map01230map01100map01120]",map00030map01200map01230map01100map01120,Central carbohydrate metabolism,Glycan metabolism,pathway
M00007,"M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030map01200map01230map01100map01120]",map00030map01200map01230map01100map01120,Central carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00007,"M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030map01200map01230map01100map01120]",map00030map01200map01230map01100map01120,Central carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00007,"M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030map01200map01230map01100map01120]",map00030map01200map01230map01100map01120,Central carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00007,"M00007 Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030map01200map01230map01100map01120]",map00030map01200map01230map01100map01120,Central carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00008,"M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00008,"M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Energy metabolism,pathway
M00008,"M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Lipid metabolism,pathway
M00008,"M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Nucleotide metabolism,pathway
M00008,"M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Amino acid metabolism,pathway
M00008,"M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Glycan metabolism,pathway
M00008,"M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00008,"M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00008,"M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00008,"M00008 Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030map01200map01100map01120]",map00030map01200map01100map01120,Central carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00009,"M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00009,"M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Energy metabolism,pathway
M00009,"M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Lipid metabolism,pathway
M00009,"M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Nucleotide metabolism,pathway
M00009,"M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Amino acid metabolism,pathway
M00009,"M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Glycan metabolism,pathway
M00009,"M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00009,"M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00009,"M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00009,"M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00010,"M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020map01200map01210map01230map01100]",map00020map01200map01210map01230map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00010,"M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020map01200map01210map01230map01100]",map00020map01200map01210map01230map01100,Central carbohydrate metabolism,Energy metabolism,pathway
M00010,"M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020map01200map01210map01230map01100]",map00020map01200map01210map01230map01100,Central carbohydrate metabolism,Lipid metabolism,pathway
M00010,"M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020map01200map01210map01230map01100]",map00020map01200map01210map01230map01100,Central carbohydrate metabolism,Nucleotide metabolism,pathway
M00010,"M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020map01200map01210map01230map01100]",map00020map01200map01210map01230map01100,Central carbohydrate metabolism,Amino acid metabolism,pathway
M00010,"M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020map01200map01210map01230map01100]",map00020map01200map01210map01230map01100,Central carbohydrate metabolism,Glycan metabolism,pathway
M00010,"M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020map01200map01210map01230map01100]",map00020map01200map01210map01230map01100,Central carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00010,"M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020map01200map01210map01230map01100]",map00020map01200map01210map01230map01100,Central carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00010,"M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020map01200map01210map01230map01100]",map00020map01200map01210map01230map01100,Central carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00010,"M00010 Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020map01200map01210map01230map01100]",map00020map01200map01210map01230map01100,Central carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00011,"M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00011,"M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Energy metabolism,pathway
M00011,"M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Lipid metabolism,pathway
M00011,"M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Nucleotide metabolism,pathway
M00011,"M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Amino acid metabolism,pathway
M00011,"M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Glycan metabolism,pathway
M00011,"M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00011,"M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00011,"M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00011,"M00011 Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020map01200map01100]",map00020map01200map01100,Central carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00012,M00012 Glyoxylate cycle [PATH:map00630map01200map01100map01110],map00630map01200map01100map01110,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
M00012,M00012 Glyoxylate cycle [PATH:map00630map01200map01100map01110],map00630map01200map01100map01110,Other carbohydrate metabolism,Energy metabolism,pathway
M00012,M00012 Glyoxylate cycle [PATH:map00630map01200map01100map01110],map00630map01200map01100map01110,Other carbohydrate metabolism,Lipid metabolism,pathway
M00012,M00012 Glyoxylate cycle [PATH:map00630map01200map01100map01110],map00630map01200map01100map01110,Other carbohydrate metabolism,Nucleotide metabolism,pathway
M00012,M00012 Glyoxylate cycle [PATH:map00630map01200map01100map01110],map00630map01200map01100map01110,Other carbohydrate metabolism,Amino acid metabolism,pathway
M00012,M00012 Glyoxylate cycle [PATH:map00630map01200map01100map01110],map00630map01200map01100map01110,Other carbohydrate metabolism,Glycan metabolism,pathway
M00012,M00012 Glyoxylate cycle [PATH:map00630map01200map01100map01110],map00630map01200map01100map01110,Other carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00012,M00012 Glyoxylate cycle [PATH:map00630map01200map01100map01110],map00630map01200map01100map01110,Other carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00012,M00012 Glyoxylate cycle [PATH:map00630map01200map01100map01110],map00630map01200map01100map01110,Other carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00012,M00012 Glyoxylate cycle [PATH:map00630map01200map01100map01110],map00630map01200map01100map01110,Other carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00013,"M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410map00640map01200map01100]",map00410map00640map01200map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
M00013,"M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410map00640map01200map01100]",map00410map00640map01200map01100,Other carbohydrate metabolism,Energy metabolism,pathway
M00013,"M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410map00640map01200map01100]",map00410map00640map01200map01100,Other carbohydrate metabolism,Lipid metabolism,pathway
M00013,"M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410map00640map01200map01100]",map00410map00640map01200map01100,Other carbohydrate metabolism,Nucleotide metabolism,pathway
M00013,"M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410map00640map01200map01100]",map00410map00640map01200map01100,Other carbohydrate metabolism,Amino acid metabolism,pathway
M00013,"M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410map00640map01200map01100]",map00410map00640map01200map01100,Other carbohydrate metabolism,Glycan metabolism,pathway
M00013,"M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410map00640map01200map01100]",map00410map00640map01200map01100,Other carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00013,"M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410map00640map01200map01100]",map00410map00640map01200map01100,Other carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00013,"M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410map00640map01200map01100]",map00410map00640map01200map01100,Other carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00013,"M00013 Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA [PATH:map00410map00640map01200map01100]",map00410map00640map01200map01100,Other carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00014,M00014 Glucuronate pathway (uronate pathway) [PATH:map00040map01100],map00040map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
M00014,M00014 Glucuronate pathway (uronate pathway) [PATH:map00040map01100],map00040map01100,Other carbohydrate metabolism,Energy metabolism,pathway
M00014,M00014 Glucuronate pathway (uronate pathway) [PATH:map00040map01100],map00040map01100,Other carbohydrate metabolism,Lipid metabolism,pathway
M00014,M00014 Glucuronate pathway (uronate pathway) [PATH:map00040map01100],map00040map01100,Other carbohydrate metabolism,Nucleotide metabolism,pathway
M00014,M00014 Glucuronate pathway (uronate pathway) [PATH:map00040map01100],map00040map01100,Other carbohydrate metabolism,Amino acid metabolism,pathway
M00014,M00014 Glucuronate pathway (uronate pathway) [PATH:map00040map01100],map00040map01100,Other carbohydrate metabolism,Glycan metabolism,pathway
M00014,M00014 Glucuronate pathway (uronate pathway) [PATH:map00040map01100],map00040map01100,Other carbohydrate metabolism,Metabolism of cofactors and vitamins,pathway
M00014,M00014 Glucuronate pathway (uronate pathway) [PATH:map00040map01100],map00040map01100,Other carbohydrate metabolism,Biosynthesis of terpenoids and polyketides,pathway
M00014,M00014 Glucuronate pathway (uronate pathway) [PATH:map00040map01100],map00040map01100,Other carbohydrate metabolism,Biosynthesis of other secondary metabolites,pathway
M00014,M00014 Glucuronate pathway (uronate pathway) [PATH:map00040map01100],map00040map01100,Other carbohydrate metabolism,Xenobiotics biodegradation,pathway
M00015,"M00015 Proline biosynthesis, glutamate => proline [PATH:map00330map01230map01100]",map00330map01230map01100,Arginine and proline metabolism,Carbohydrate metabolism,pathway
M00015,"M00015 Proline biosynthesis, glutamate => proline [PATH:map00330map01230map01100]",map00330map01230map01100,Arginine and proline metabolism,Energy metabolism,pathway
M00015,"M00015 Proline biosynthesis, glutamate => proline [PATH:map00330map01230map01100]",map00330map01230map01100,Arginine and proline metabolism,Lipid metabolism,pathway
M00015,"M00015 Proline biosynthesis, glutamate => proline [PATH:map00330map01230map01100]",map00330map01230map01100,Arginine and proline metabolism,Nucleotide metabolism,pathway
M00015,"M00015 Proline biosynthesis, glutamate => proline [PATH:map00330map01230map01100]",map00330map01230map01100,Arginine and proline metabolism,Amino acid metabolism,pathway
M00015,"M00015 Proline biosynthesis, glutamate => proline [PATH:map00330map01230map01100]",map00330map01230map01100,Arginine and proline metabolism,Glycan metabolism,pathway
M00015,"M00015 Proline biosynthesis, glutamate => proline [PATH:map00330map01230map01100]",map00330map01230map01100,Arginine and proline metabolism,Metabolism of cofactors and vitamins,pathway
